NUM Joints 29
(0, b'abdomen_z', 0, 7, 6, 1, 0.0, 0.0, -0.7853981852531433, 0.7853981852531433, 0.0, 0.0, b'link0_2', (0.0, 0.0, 1.0), (-0.00025999896281664325, 0.0, -0.07500051552760198), (0.0, 0.001999996095006332, 0.0, 0.99999800000581), -1)

(1, b'abdomen_y', 0, 8, 7, 1, 0.0, 0.0, -1.3089970350265503, 0.5235987901687622, 0.0, 0.0, b'link0_3', (0.0, 1.0, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 0)

(2, b'jointfix_7_3', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'lwaist', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.06499999761581421), (0.0, 0.0, 0.0, 1.0), 1)

(3, b'abdomen_x', 0, 9, 8, 1, 0.0, 0.0, -0.6108652949333191, 0.6108652949333191, 0.0, 0.0, b'link0_5', (1.0, 0.0, 0.0), (-0.0003999984249655934, 0.0, -0.06500080506328273), (0.0, 0.001999996095006332, 0.0, 0.99999800000581), 2)

(4, b'jointfix_6_5', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'pelvis', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.10000000149011612), (0.0, 0.0, 0.0, 1.0), 3)

(5, b'right_hip_x', 0, 10, 9, 1, 0.0, 0.0, -0.4363323152065277, 0.0872664675116539, 0.0, 0.0, b'link0_7', (1.0, 0.0, 0.0), (0.019999999552965164, -0.10000000149011612, -0.03999999910593033), (0.0, 0.0, 0.0, 1.0), 4)

(6, b'right_hip_z', 0, 11, 10, 1, 0.0, 0.0, -1.0471975803375244, 0.6108652949333191, 0.0, 0.0, b'link0_8', (0.0, 0.0, 1.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 5)

(7, b'right_hip_y', 0, 12, 11, 1, 0.0, 0.0, -2.094395160675049, 0.3490658700466156, 0.0, 0.0, b'link0_9', (0.0, 1.0, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 6)

(8, b'jointfix_2_9', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'right_thigh', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 7)

(9, b'right_knee', 0, 13, 12, 1, 0.0, 0.0, -2.792526960372925, -0.03490658476948738, 0.0, 0.0, b'link0_11', (0.0, -1.0, 0.0), (0.0, 0.004999999888241291, -0.21299999579787254), (0.0, 0.0, 0.0, 1.0), 8)

(10, b'jointfix_1_11', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'right_shin', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.019999999552965164), (0.0, 0.0, 0.0, 1.0), 9)

(11, b'jointfix_0_10', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'right_foot', (0.0, 0.0, 0.0), (0.0, 0.0, -0.29999998211860657), (0.0, 0.0, 0.0, 1.0), 10)

(12, b'left_hip_x', 0, 14, 13, 1, 0.0, 0.0, -0.4363323152065277, 0.0872664675116539, 0.0, 0.0, b'link0_14', (-1.0, 0.0, 0.0), (0.019999999552965164, 0.10000000149011612, -0.03999999910593033), (0.0, 0.0, 0.0, 1.0), 4)

(13, b'left_hip_z', 0, 15, 14, 1, 0.0, 0.0, -1.0471975803375244, 0.6108652949333191, 0.0, 0.0, b'link0_15', (0.0, 0.0, -1.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 12)

(14, b'left_hip_y', 0, 16, 15, 1, 0.0, 0.0, -2.094395160675049, 0.3490658700466156, 0.0, 0.0, b'link0_16', (0.0, 1.0, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 13)

(15, b'jointfix_5_16', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'left_thigh', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 14)

(16, b'left_knee', 0, 17, 16, 1, 0.0, 0.0, -2.792526960372925, -0.03490658476948738, 0.0, 0.0, b'link0_18', (0.0, -1.0, 0.0), (0.0, -0.004999999888241291, -0.21299999579787254), (0.0, 0.0, 0.0, 1.0), 15)

(17, b'jointfix_4_18', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'left_shin', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.019999999552965164), (0.0, 0.0, 0.0, 1.0), 16)

(18, b'jointfix_3_17', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'left_foot', (0.0, 0.0, 0.0), (0.0, 0.0, -0.29999998211860657), (0.0, 0.0, 0.0, 1.0), 17)

(19, b'right_shoulder1', 0, 18, 17, 1, 0.0, 0.0, -1.483529806137085, 1.0471975803375244, 0.0, 0.0, b'link0_21', (2.0, 1.0, 1.0), (0.009999999776482582, -0.17000000178813934, 0.17999999597668648), (0.0, 0.0, 0.0, 1.0), -1)

(20, b'right_shoulder2', 0, 19, 18, 1, 0.0, 0.0, -1.483529806137085, 1.0471975803375244, 0.0, 0.0, b'link0_22', (0.0, -1.0, 1.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 19)

(21, b'jointfix_9_22', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'right_upper_arm', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 20)

(22, b'right_elbow', 0, 20, 19, 1, 0.0, 0.0, -1.5707963705062866, 0.8726646304130554, 0.0, 0.0, b'link0_24', (0.0, -1.0, 1.0), (0.10000000894069672, -0.10000000894069672, -0.10000000894069672), (0.0, 0.0, 0.0, 1.0), 21)

(23, b'jointfix_8_24', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'right_lower_arm', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 22)

(24, b'left_shoulder1', 0, 21, 20, 1, 0.0, 0.0, -1.0471975803375244, 1.483529806137085, 0.0, 0.0, b'link0_26', (2.0, -1.0, 1.0), (0.009999999776482582, 0.17000000178813934, 0.17999999597668648), (0.0, 0.0, 0.0, 1.0), -1)

(25, b'left_shoulder2', 0, 22, 21, 1, 0.0, 0.0, -1.0471975803375244, 1.483529806137085, 0.0, 0.0, b'link0_27', (0.0, 1.0, 1.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 1.0), 24)

(26, b'jointfix_11_27', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'left_upper_arm', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 25)

(27, b'left_elbow', 0, 23, 22, 1, 0.0, 0.0, -1.5707963705062866, 0.8726646304130554, 0.0, 0.0, b'link0_29', (0.0, -1.0, -1.0), (0.10000000894069672, 0.10000000894069672, -0.10000000894069672), (0.0, 0.0, 0.0, 1.0), 26)
(28, b'jointfix_10_29', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'left_lower_arm', (0.0, 0.0, 0.0), (-0.0, -0.0, -0.0), (0.0, 0.0, 0.0, 1.0), 27)

